solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,166.7,48.12,364.0,0,3,16,23,2130.34,38.0,344.75,25.92,1998.47,81;87;161;376;92;375;75;5;82;44;12;26;399;404;336;104;266;23;370;334;28;284;68,ŞEFTALİ SUYU | VİŞNE REÇELİ | ERİK | VİŞNE SUYU LD | YEŞİL ZEYTIN | ÜZÜM | SİMİT | BAL | TAHİN PEKMEZ | LOR PEYNİRİ | ÇİLEK REÇELİ | HAVUÇ-TURP SALATASI | ZEYTİNYAĞLI ISPANAK | ZEYTİNYAĞLI SEMİZOTU | SALATALIK TURSUSU | ANTEP FISTIKLI TEL KADAYIF | KORNİŞON TURŞU | HAŞLANMIŞ YUMURTA | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | ROKA SALATASI LD | HİNDİ SALAMI | MAKARNA-KUSKUS | POŞE YUMURTA
1,157.5,21.72,587.0,0,2,13,19,2244.95,56.43,344.73,19.38,1498.46,367;331;42;376;90;252;82;9;269;404;55;332;297;194;28;68;270;284;334,TAM BUĞDAY EKMEK LD | PORTAKAL SUYU LD | KUŞBURNU MARMELATI | VİŞNE SUYU LD | YAZ HELVASI | KAYISI SUYU LD | TAHİN PEKMEZ | ÇEÇİL PEYNİRİ | KREM ŞOKOLA | ZEYTİNYAĞLI SEMİZOTU | PATATES PÜRESİ B | PORTAKALLI REVANİ | MEVSİM SALATASI LD | ETSİZ PİRİNÇLİ PIRASA | HİNDİ SALAMI | POŞE YUMURTA | KREMALI BROKOLİ ÇORBASI | MAKARNA-KUSKUS | ROKA SALATASI LD
2,157.4,35.24,422.0,0,3,14,19,2168.53,36.38,342.65,34.87,2055.37,250;330;208;22;75;18;160;44;12;5;242;185;23;370;153;141;211;312;69,KAVUN | PORTAKAL | GREYFURT SUYU LD | GREYFURT SUYU | SİMİT | ELMA SUYU | ELMA SUYU LD | LOR PEYNİRİ | ÇİLEK REÇELİ | BAL | KABAK MÜCVER | ETSİZ KEREVİZ | HAŞLANMIŞ YUMURTA | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | DOMATESLİ PİRİNÇ PİLAVI | ÇOBAN SALATASI LD | HAVUÇ ÇORBASI | PATATES PÜRESİ | ROKA SALATASI
3,150.5,33.0,395.0,0,3,13,23,2011.64,34.8,344.95,42.16,1890.93,18;367;158;286;208;285;160;139;7;86;5;92;275;126;253;336;48;305;26;334;77;245;284,ELMA SUYU | TAM BUĞDAY EKMEK LD | ELMA | MANDALİNA | GREYFURT SUYU LD | MALTA ERİĞİ | ELMA SUYU LD | ÇİLEK | BÖĞÜRTLEN REÇELİ | ÜZÜM PEKMEZİ | BAL | YEŞİL ZEYTIN | KREMALI MANTARLI FESLEĞENLİ MAKARNA | BROKOLİ SALATASI LD | KEMALPAŞA TATLISI | SALATALIK TURSUSU | MEVSİM SALATASI | NOHUTLU PİRİNÇ PİLAVI | HAVUÇ-TURP SALATASI | ROKA SALATASI LD | SOSİS | KARIŞIK TURŞU | MAKARNA-KUSKUS
4,150.4,25.46,405.0,0,2,12,17,2345.88,39.23,337.3,35.64,1485.28,18;376;158;7;208;160;16;3;36;44;5;115;334;43;196;176;312,ELMA SUYU | VİŞNE SUYU LD | ELMA | BÖĞÜRTLEN REÇELİ | GREYFURT SUYU LD | ELMA SUYU LD | EKMEK | AYVA REÇELİ | KAYMAK | LOR PEYNİRİ | BAL | BADEMLİ MUHALLEBİ | ROKA SALATASI LD | KÜP PATATES KIZARTMASI B | ETSİZ TÜRLÜ | ETSİZ BULGURLU ISPANAK | PATATES PÜRESİ
5,147.6,26.06,324.0,0,3,12,18,2120.33,36.72,333.44,22.94,1723.89,86;376;82;208;22;75;18;160;42;367;7;242;185;23;370;153;141;162,ÜZÜM PEKMEZİ | VİŞNE SUYU LD | TAHİN PEKMEZ | GREYFURT SUYU LD | GREYFURT SUYU | SİMİT | ELMA SUYU | ELMA SUYU LD | KUŞBURNU MARMELATI | TAM BUĞDAY EKMEK LD | BÖĞÜRTLEN REÇELİ | KABAK MÜCVER | ETSİZ KEREVİZ | HAŞLANMIŞ YUMURTA | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | DOMATESLİ PİRİNÇ PİLAVI | ÇOBAN SALATASI LD | ERİŞTE
6,145.0,21.61,331.0,0,4,11,18,2008.59,39.35,273.51,26.59,2021.26,376;80;158;7;160;16;3;36;35;92;185;85;404;74;283;216;177;23,VİŞNE SUYU LD | ŞEFTALİ REÇELİ | ELMA | BÖĞÜRTLEN REÇELİ | ELMA SUYU LD | EKMEK | AYVA REÇELİ | KAYMAK | KAYISI SUYU | YEŞİL ZEYTIN | ETSİZ KEREVİZ | TAVADA YUMURTA | ZEYTİNYAĞLI SEMİZOTU | SEMİZOTU SALATASI | MAKARNA SALATASI LD | HAVUÇ-TURP SALATASI LD | ETSİZ BULGURLU KABAK YAHNİ | HAŞLANMIŞ YUMURTA
7,137.1,41.55,197.0,0,3,11,16,2239.66,44.71,337.33,19.8,1915.53,86;376;82;208;22;75;18;160;42;367;7;211;1;104;317;46,ÜZÜM PEKMEZİ | VİŞNE SUYU LD | TAHİN PEKMEZ | GREYFURT SUYU LD | GREYFURT SUYU | SİMİT | ELMA SUYU | ELMA SUYU LD | KUŞBURNU MARMELATI | TAM BUĞDAY EKMEK LD | BÖĞÜRTLEN REÇELİ | HAVUÇ ÇORBASI | AKDENİZ SALATASI | ANTEP FISTIKLI TEL KADAYIF | PEYNİRLİ AKDENİZ SALATASI LD | MENEMEN
8,136.2,38.48,232.0,0,3,14,20,2072.61,38.04,344.83,20.4,1647.17,81;87;92;376;161;375;75;5;82;44;12;200;271;254;274;266;334;245;69;28,ŞEFTALİ SUYU | VİŞNE REÇELİ | YEŞİL ZEYTIN | VİŞNE SUYU LD | ERİK | ÜZÜM | SİMİT | BAL | TAHİN PEKMEZ | LOR PEYNİRİ | ÇİLEK REÇELİ | FINDIKLI İRMİK HELVASI | KREMALI DOMATES  ÇORBASI | KISIR | KREMALI MANTAR ÇORBASI | KORNİŞON TURŞU | ROKA SALATASI LD | KARIŞIK TURŞU | ROKA SALATASI | HİNDİ SALAMI
9,136.1,22.38,284.0,0,4,13,18,1975.72,62.83,260.35,26.93,1709.91,42;92;44;88;76;81;367;7;250;161;82;9;129;383;28;360;147;124,KUŞBURNU MARMELATI | YEŞİL ZEYTIN | LOR PEYNİRİ | VİŞNE SUYU | SİYAH ZEYTIN | ŞEFTALİ SUYU | TAM BUĞDAY EKMEK LD | BÖĞÜRTLEN REÇELİ | KAVUN | ERİK | TAHİN PEKMEZ | ÇEÇİL PEYNİRİ | BULGUR PİLAVI | YOĞURTLU BUĞDAY ÇORBASI | HİNDİ SALAMI | ŞAKŞUKA | DOMATES SALATALIK SÖĞÜŞ LD | BOLONEZ SOSLU MAKARNA
