solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,186.9,39.82,696.0,0,3,13,24,2738.82,55.67,267.89,23.12,2319.27,36;76;31;3;82;25;208;7;44;12;86;127;274;353;328;28;365;68;147;215;141;23;153;393,KAYMAK | SİYAH ZEYTIN | ISPANAKLI KOL BÖREĞİ | AYVA REÇELİ | TAHİN PEKMEZ | HAVUÇ SUYU | GREYFURT SUYU LD | BÖĞÜRTLEN REÇELİ | LOR PEYNİRİ | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | BUĞDAY RİSOTTO | KREMALI MANTAR ÇORBASI | SEMİZOTU SALATASI LD | PİRİNÇLİ HAVUÇ ÇORBASI | HİNDİ SALAMI | ŞEHRİYELİ PİRİNÇ PİLAVI | POŞE YUMURTA | DOMATES SALATALIK SÖĞÜŞ LD | HAVUÇLU PİRİNÇ PİLAVI | ÇOBAN SALATASI LD | HAŞLANMIŞ YUMURTA | DOMATESLİ PİRİNÇ PİLAVI | YOĞURTLU PATLICAN KIZARTMASI
1,176.2,36.88,359.0,0,1,15,22,2455.74,84.76,344.48,12.77,2597.2,89;82;375;3;22;80;12;376;25;252;44;76;132;300;275;8;129;404;28;68;23;85,YABAN MERSİNİ MARMELATI | TAHİN PEKMEZ | ÜZÜM | AYVA REÇELİ | GREYFURT SUYU | ŞEFTALİ REÇELİ | ÇİLEK REÇELİ | VİŞNE SUYU LD | HAVUÇ SUYU | KAYISI SUYU LD | LOR PEYNİRİ | SİYAH ZEYTIN | CACIK LD | MISIRLI AYRAN ÇORBASI | KREMALI MANTARLI FESLEĞENLİ MAKARNA | BROKOLİ SALATASI | BULGUR PİLAVI | ZEYTİNYAĞLI SEMİZOTU | HİNDİ SALAMI | POŞE YUMURTA | HAŞLANMIŞ YUMURTA | TAVADA YUMURTA
2,175.8,50.69,489.0,0,1,16,24,2440.79,102.19,344.93,17.33,1951.56,89;82;375;3;22;80;12;376;25;252;44;92;372;280;333;85;28;68;23;266;334;201;284;69,YABAN MERSİNİ MARMELATI | TAHİN PEKMEZ | ÜZÜM | AYVA REÇELİ | GREYFURT SUYU | ŞEFTALİ REÇELİ | ÇİLEK REÇELİ | VİŞNE SUYU LD | HAVUÇ SUYU | KAYISI SUYU LD | LOR PEYNİRİ | YEŞİL ZEYTIN | TOYGA ÇORBASI | KÜP PATATES KIZARTMASI | REVANİ | TAVADA YUMURTA | HİNDİ SALAMI | POŞE YUMURTA | HAŞLANMIŞ YUMURTA | KORNİŞON TURŞU | ROKA SALATASI LD | FIRIN BALIK | MAKARNA-KUSKUS | ROKA SALATASI
3,169.9,45.27,359.0,0,4,14,24,2209.99,90.99,344.64,20.32,1904.24,35;88;92;160;213;44;42;158;82;5;89;248;21;7;76;333;294;266;334;85;336;23;201;69,KAYISI SUYU | VİŞNE SUYU | YEŞİL ZEYTIN | ELMA SUYU LD | HAVUÇ SUYU LD | LOR PEYNİRİ | KUŞBURNU MARMELATI | ELMA | TAHİN PEKMEZ | BAL | YABAN MERSİNİ MARMELATI | KARPUZ | FINDIK EZMESİ | BÖĞÜRTLEN REÇELİ | SİYAH ZEYTIN | REVANİ | MELEK PİLAVI | KORNİŞON TURŞU | ROKA SALATASI LD | TAVADA YUMURTA | SALATALIK TURSUSU | HAŞLANMIŞ YUMURTA | FIRIN BALIK | ROKA SALATASI
4,168.9,50.17,299.0,0,3,14,24,2289.6,103.1,342.72,23.24,1881.85,161;331;250;12;213;44;42;158;82;5;89;248;21;76;7;86;395;115;54;8;68;23;266;201,ERİK | PORTAKAL SUYU LD | KAVUN | ÇİLEK REÇELİ | HAVUÇ SUYU LD | LOR PEYNİRİ | KUŞBURNU MARMELATI | ELMA | TAHİN PEKMEZ | BAL | YABAN MERSİNİ MARMELATI | KARPUZ | FINDIK EZMESİ | SİYAH ZEYTIN | BÖĞÜRTLEN REÇELİ | ÜZÜM PEKMEZİ | YOĞURTLU SEMİZOTU | BADEMLİ MUHALLEBİ | PARMAK PATATES KIZARTMASI B | BROKOLİ SALATASI | POŞE YUMURTA | HAŞLANMIŞ YUMURTA | KORNİŞON TURŞU | FIRIN BALIK
5,166.3,36.91,352.0,0,3,13,22,1925.93,49.44,310.71,47.0,1734.08,139;35;92;160;213;44;42;158;82;5;89;248;21;7;76;12;198;68;85;327;123;194,ÇİLEK | KAYISI SUYU | YEŞİL ZEYTIN | ELMA SUYU LD | HAVUÇ SUYU LD | LOR PEYNİRİ | KUŞBURNU MARMELATI | ELMA | TAHİN PEKMEZ | BAL | YABAN MERSİNİ MARMELATI | KARPUZ | FINDIK EZMESİ | BÖĞÜRTLEN REÇELİ | SİYAH ZEYTIN | ÇİLEK REÇELİ | FASULYE PİLAKİ | POŞE YUMURTA | TAVADA YUMURTA | PİRİNÇ PİLAVI | BARBUNYA PİLAKİ | ETSİZ PİRİNÇLİ PIRASA
6,165.9,39.03,369.0,0,4,16,19,2245.4,99.7,344.41,25.29,1723.78,35;92;5;160;82;375;367;361;18;16;70;358;270;159;23;68;28;334;201,KAYISI SUYU | YEŞİL ZEYTIN | BAL | ELMA SUYU LD | TAHİN PEKMEZ | ÜZÜM | TAM BUĞDAY EKMEK LD | ŞEFTALİ | ELMA SUYU | EKMEK | SEBZE GARNİTÜR (HAŞLANMIŞ) | SÜTLAÇ | KREMALI BROKOLİ ÇORBASI | ELMA DİLİM PATATES KIZARTMASI | HAŞLANMIŞ YUMURTA | POŞE YUMURTA | HİNDİ SALAMI | ROKA SALATASI LD | FIRIN BALIK
7,165.7,39.06,249.0,0,3,13,23,2199.67,46.98,332.08,41.55,1400.52,161;331;250;12;213;44;42;158;82;5;89;248;21;76;7;86;334;108;24;46;389;216;23,ERİK | PORTAKAL SUYU LD | KAVUN | ÇİLEK REÇELİ | HAVUÇ SUYU LD | LOR PEYNİRİ | KUŞBURNU MARMELATI | ELMA | TAHİN PEKMEZ | BAL | YABAN MERSİNİ MARMELATI | KARPUZ | FINDIK EZMESİ | SİYAH ZEYTIN | BÖĞÜRTLEN REÇELİ | ÜZÜM PEKMEZİ | ROKA SALATASI LD | ARPA ŞEHRİYE PİLAVI | HAVUÇ SALATASI | MENEMEN | YOĞURTLU KARIŞIK KIZARTMA | HAVUÇ-TURP SALATASI LD | HAŞLANMIŞ YUMURTA
8,163.5,29.87,484.0,0,4,12,21,2173.12,39.49,233.93,20.57,1616.88,12;44;158;82;89;36;30;76;7;86;92;127;274;353;328;28;365;68;147;215;141,ÇİLEK REÇELİ | LOR PEYNİRİ | ELMA | TAHİN PEKMEZ | YABAN MERSİNİ MARMELATI | KAYMAK | ISPANAKLI GÜL BÖREĞİ | SİYAH ZEYTIN | BÖĞÜRTLEN REÇELİ | ÜZÜM PEKMEZİ | YEŞİL ZEYTIN | BUĞDAY RİSOTTO | KREMALI MANTAR ÇORBASI | SEMİZOTU SALATASI LD | PİRİNÇLİ HAVUÇ ÇORBASI | HİNDİ SALAMI | ŞEHRİYELİ PİRİNÇ PİLAVI | POŞE YUMURTA | DOMATES SALATALIK SÖĞÜŞ LD | HAVUÇLU PİRİNÇ PİLAVI | ÇOBAN SALATASI LD
9,158.5,25.1,291.0,0,4,11,20,2127.77,46.39,343.82,37.62,1587.8,89;7;82;375;3;22;80;286;376;91;44;92;76;159;23;314;313;147;395;179,YABAN MERSİNİ MARMELATI | BÖĞÜRTLEN REÇELİ | TAHİN PEKMEZ | ÜZÜM | AYVA REÇELİ | GREYFURT SUYU | ŞEFTALİ REÇELİ | MANDALİNA | VİŞNE SUYU LD | YER FISTIĞI EZMESİ | LOR PEYNİRİ | YEŞİL ZEYTIN | SİYAH ZEYTIN | ELMA DİLİM PATATES KIZARTMASI | HAŞLANMIŞ YUMURTA | PATATES SOTE | PATATES SALATASI LD | DOMATES SALATALIK SÖĞÜŞ LD | YOĞURTLU SEMİZOTU | ETSİZ BULGURLU PATATESLİ LAHANA
